
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
1134113       0x114E21        MIPS16e instructions, function epilogue
1153687       0x119A97        ARMEB instructions, function prologue
1158345       0x11ACC9        ARMEB instructions, function prologue
1165978       0x11CA9A        ARM instructions, function prologue
1188440       0x122258        ARMEB instructions, function epilogue
1196678       0x124286        ARMEB instructions, function epilogue
1211669       0x127D15        MIPS instructions, function epilogue
1218947       0x129983        ARM instructions, function epilogue
1229449       0x12C289        ARMEB instructions, function epilogue
1242460       0x12F55C        MIPSEL16e instructions, function epilogue
1247648       0x1309A0        ARMEB instructions, function prologue
1255877       0x1329C5        MIPS16e instructions, function epilogue
1262156       0x13424C        MIPS16e instructions, function epilogue
1265744       0x135050        MIPSEL16e instructions, function epilogue
1269791       0x13601F        MIPS instructions, function epilogue
1275744       0x137760        ARM instructions, function epilogue
1315055       0x1410EF        ARM instructions, function epilogue
1319912       0x1423E8        MIPS instructions, function epilogue
1326036       0x143BD4        MIPS16e instructions, function epilogue
1363748       0x14CF24        ARM instructions, function prologue
1372034       0x14EF82        MIPS16e instructions, function epilogue
1379445       0x150C75        ARMEB instructions, function prologue
1400746       0x155FAA        MIPS16e instructions, function epilogue
1401410       0x156242        ARMEB instructions, function prologue
1432562       0x15DBF2        ARM instructions, function epilogue
1438606       0x15F38E        ARMEB instructions, function prologue
1441625       0x15FF59        ARMEB instructions, function prologue
1449081       0x161C79        ARM instructions, function prologue
1456235       0x16386B        ARM instructions, function epilogue
1458845       0x16429D        ARM instructions, function epilogue
1469657       0x166CD9        MIPSEL16e instructions, function epilogue
1486128       0x16AD30        MIPS instructions, function epilogue
1486489       0x16AE99        ARMEB instructions, function epilogue
1506435       0x16FC83        ARMEB instructions, function epilogue
1513408       0x1717C0        ARMEB instructions, function prologue
1518565       0x172BE5        MIPS instructions, function epilogue
1520083       0x1731D3        ARM instructions, function epilogue
1526828       0x174C2C        MIPSEL16e instructions, function epilogue
1527944       0x175088        ARM instructions, function epilogue
1569779       0x17F3F3        ARM instructions, function epilogue
1572757       0x17FF95        MIPS16e instructions, function epilogue
1595111       0x1856E7        ARMEB instructions, function prologue
1619347       0x18B593        ARM instructions, function epilogue
1628908       0x18DAEC        MIPS instructions, function epilogue
1630373       0x18E0A5        MIPS instructions, function epilogue
1631618       0x18E582        ARM instructions, function epilogue
1632783       0x18EA0F        MIPS16e instructions, function epilogue
1637969       0x18FE51        MIPS16e instructions, function epilogue
1652649       0x1937A9        MIPS instructions, function epilogue
1668180       0x197454        ARMEB instructions, function prologue
1673462       0x1988F6        ARMEB instructions, function epilogue
1693157       0x19D5E5        MIPS16e instructions, function epilogue
1697886       0x19E85E        ARMEB instructions, function epilogue
1703094       0x19FCB6        ARMEB instructions, function epilogue
1708013       0x1A0FED        MIPS instructions, function epilogue
1715342       0x1A2C8E        MIPS instructions, function epilogue
1717090       0x1A3362        MIPSEL16e instructions, function epilogue
1726899       0x1A59B3        MIPSEL16e instructions, function epilogue
1735239       0x1A7A47        MIPSEL16e instructions, function epilogue
1741635       0x1A9343        ARM instructions, function epilogue
1761955       0x1AE2A3        ARMEB instructions, function prologue
1765492       0x1AF074        ARMEB instructions, function epilogue
1769115       0x1AFE9B        MIPSEL16e instructions, function epilogue
1780266       0x1B2A2A        ARM instructions, function epilogue
1785345       0x1B3E01        MIPS16e instructions, function epilogue
1789886       0x1B4FBE        MIPSEL16e instructions, function epilogue
1794654       0x1B625E        MIPS16e instructions, function epilogue
1796430       0x1B694E        ARM instructions, function epilogue
1804239       0x1B87CF        ARM instructions, function epilogue
1810435       0x1BA003        MIPS instructions, function epilogue
1819055       0x1BC1AF        ARM instructions, function prologue
1826492       0x1BDEBC        MIPSEL16e instructions, function epilogue
1831849       0x1BF3A9        MIPS instructions, function epilogue
1836974       0x1C07AE        MIPS instructions, function epilogue
1838740       0x1C0E94        ARMEB instructions, function prologue
1850236       0x1C3B7C        ARM instructions, function prologue
1855477       0x1C4FF5        ARMEB instructions, function epilogue
1862791       0x1C6C87        ARMEB instructions, function epilogue
1870829       0x1C8BED        MIPSEL16e instructions, function epilogue
1871294       0x1C8DBE        ARMEB instructions, function epilogue
1882122       0x1CB80A        MIPS16e instructions, function epilogue
1891375       0x1CDC2F        MIPS instructions, function epilogue
1896197       0x1CEF05        ARMEB instructions, function epilogue
1901246       0x1D02BE        MIPS16e instructions, function epilogue
1917539       0x1D4263        MIPS instructions, function epilogue
1927521       0x1D6961        MIPS instructions, function epilogue
1941965       0x1DA1CD        ARM instructions, function epilogue
1956595       0x1DDAF3        MIPS instructions, function epilogue
1973928       0x1E1EA8        MIPS instructions, function epilogue
2003418       0x1E91DA        MIPSEL16e instructions, function epilogue
2013852       0x1EBA9C        MIPS instructions, function epilogue
2028236       0x1EF2CC        ARMEB instructions, function prologue
2043138       0x1F2D02        MIPS16e instructions, function epilogue
2053890       0x1F5702        MIPS instructions, function epilogue
2060137       0x1F6F69        ARMEB instructions, function epilogue
2066703       0x1F890F        ARM instructions, function epilogue
2070412       0x1F978C        ARMEB instructions, function prologue
2074911       0x1FA91F        ARMEB instructions, function prologue
2075912       0x1FAD08        ARM instructions, function prologue
2077838       0x1FB48E        ARMEB instructions, function epilogue
2085288       0x1FD1A8        ARMEB instructions, function epilogue
2098017       0x200361        ARM instructions, function epilogue
2100007       0x200B27        MIPS instructions, function epilogue
2110639       0x2034AF        MIPS instructions, function epilogue
2114903       0x204557        ARM instructions, function prologue
2116441       0x204B59        MIPSEL16e instructions, function epilogue
2118074       0x2051BA        MIPSEL16e instructions, function epilogue
2119754       0x20584A        MIPS16e instructions, function epilogue
2121452       0x205EEC        MIPS instructions, function epilogue
2121829       0x206065        MIPS instructions, function epilogue
2124916       0x206C74        MIPS16e instructions, function epilogue
2132507       0x208A1B        ARMEB instructions, function epilogue
2132705       0x208AE1        ARM instructions, function epilogue
2138568       0x20A1C8        ARM instructions, function prologue
2142596       0x20B184        MIPS16e instructions, function epilogue
2159925       0x20F535        ARM instructions, function epilogue
2159928       0x20F538        ARMEB instructions, function epilogue
2164771       0x210823        ARM instructions, function prologue
2170336       0x211DE0        MIPS instructions, function epilogue
2171165       0x21211D        MIPSEL16e instructions, function epilogue
2177019       0x2137FB        ARM instructions, function prologue
2177348       0x213944        MIPS instructions, function epilogue
2177996       0x213BCC        MIPSEL16e instructions, function epilogue
2212772       0x21C3A4        ARMEB instructions, function prologue
2213113       0x21C4F9        MIPSEL16e instructions, function epilogue
2218422       0x21D9B6        ARM instructions, function epilogue
2227878       0x21FEA6        ARMEB instructions, function prologue
2230319       0x22082F        ARMEB instructions, function prologue
2231115       0x220B4B        MIPS instructions, function epilogue
2235921       0x221E11        ARM instructions, function prologue
2237344       0x2223A0        ARMEB instructions, function epilogue
2238105       0x222699        ARMEB instructions, function epilogue
2242243       0x2236C3        ARMEB instructions, function epilogue
2243407       0x223B4F        ARMEB instructions, function prologue
2259010       0x227842        MIPS instructions, function epilogue
2259877       0x227BA5        MIPS instructions, function epilogue
2270051       0x22A363        MIPS16e instructions, function epilogue
2281652       0x22D0B4        ARM instructions, function prologue
2283509       0x22D7F5        ARMEB instructions, function prologue
2294064       0x230130        ARM instructions, function prologue
2309789       0x233E9D        ARMEB instructions, function prologue
2315661       0x23558D        MIPS16e instructions, function epilogue
2315731       0x2355D3        MIPS16e instructions, function epilogue
2317090       0x235B22        ARM instructions, function prologue
2328175       0x23866F        MIPS instructions, function epilogue
2342540       0x23BE8C        ARM instructions, function prologue
2345878       0x23CB96        ARMEB instructions, function epilogue
2351718       0x23E266        ARM instructions, function prologue
2375819       0x24408B        MIPS16e instructions, function epilogue
2376571       0x24437B        MIPS instructions, function epilogue
2377790       0x24483E        ARMEB instructions, function epilogue
2382875       0x245C1B        ARMEB instructions, function epilogue
2393520       0x2485B0        ARMEB instructions, function prologue
2396972       0x24932C        ARM instructions, function epilogue
2415802       0x24DCBA        MIPSEL16e instructions, function epilogue
2419704       0x24EBF8        MIPS16e instructions, function epilogue
2422097       0x24F551        ARMEB instructions, function epilogue
2424091       0x24FD1B        MIPS instructions, function epilogue
2424741       0x24FFA5        MIPSEL16e instructions, function epilogue
2441580       0x25416C        MIPSEL16e instructions, function epilogue
2444945       0x254E91        ARMEB instructions, function prologue
2450022       0x256266        MIPS instructions, function epilogue
2450804       0x256574        ARM instructions, function prologue
